alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,8,1,1,1.01866,0.065677,0.9293,0.022942,0.0,0.082745,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,128,1,1,128,1,1,2.452752,0.084961,0.029109,0.001777,0.0,2.491601,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,1,1,32,0.436534,0.087465,0.190787,0.022247,0.294272,0.0,0.0,0.0,0.01473,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,2,2,1,1,4,1,21.070389,0.161558,16.631297,1.703361,0.0,0.0,0.06167,0.044738,0.0,0.133345
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,512,1,1,0.851568,0.094468,0.034433,0.000777,0.0,0.584791,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,4,1,1,1,1,4,0.707798,0.07007,0.110093,0.003203,0.570418,0.0,0.0,0.0,0.027268,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.430281,0.045999,0.037374,0.004639,0.0,0.478107,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,2,8,32,50000,5000,8,1,1,1,1,8,0.91607,0.02707,0.742654,0.075933,0.134211,0.0,0.0,0.0,0.031084,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,16,1,1,16,1,1,0.541283,0.037242,0.491376,0.014623,0.0,0.015719,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,16,1,1,1,1,16,5.092141,0.265146,4.34383,0.457438,0.196481,0.0,0.0,0.0,0.016018,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,500,16,16,1,1,256,1,3.051536,0.110506,0.031925,0.000801,0.0,0.0,0.000809,2.517271,0.0,0.250964
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,16,8,1,1,128,1,1.137962,0.302255,0.618378,0.106952,0.0,0.0,0.003659,0.050277,0.0,0.021704
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,8,4,1,1,32,1,0.423051,0.144563,0.248515,0.015552,0.0,0.0,0.00251,0.001816,0.0,0.005028
nystrom-1d-redist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,1,1,128,0.315566,0.103296,0.070069,0.00638,0.233358,0.0,0.0,0.0,0.054342,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,128,1,1,128,1,1,0.440546,0.077165,0.030039,0.001552,0.0,0.398377,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,32,1,1,2.738593,0.204701,2.245831,0.266643,0.0,0.146669,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.441874,0.085975,0.032432,0.00083,0.0,0.0,0.000822,1.221277,0.0,0.038622
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,64,1,1,1,1,64,1.647939,0.239991,1.213754,0.226782,0.124703,0.0,0.0,0.0,0.007316,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,1.947691,0.072661,1.497652,0.174193,0.0,0.224279,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,16,1,1,1,1,16,5.023463,0.22746,4.349021,0.454884,0.143348,0.0,0.0,0.0,0.016389,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,1.875643,0.035811,1.483899,0.183475,0.0,0.198749,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,5000,8,1,1,8,1,1,1.093698,0.052268,0.748593,0.09246,0.0,0.277858,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,512,1,1,0.852258,0.080124,0.033864,0.000776,0.0,0.567819,0.0,0.0,0.0,0.0
