alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,-1.0,0.089229,0.275386,0.132669,0.0,0.0,2026-02-13T07:35:13
matmul1gen,cpp,perlmutter-gpu-cpu,128,512,32,1000000,1000000,1000000,1000,512,1,1,0.0,-1.0,0.649601,0.0,10.882676,0.0,0.0,2026-02-14T20:55:50
matmul,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,500,4,2,1,0.319339,0.259464,0.022724,0.025917,0.881773,0.0,0.013533,2026-06-04T09:29:03
matmul1comm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,500,64,1,1,0.0,-1.0,0.024956,0.190613,0.146386,0.0,0.0,2026-02-14T20:48:54
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.628016,0.0,2.291578,0.0,0.0,2026-02-13T07:31:45
matmul1gen,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,500,128,1,1,0.0,-1.0,0.08278,0.0,0.069698,0.0,0.0,2025-10-05T12:27:13
matmul1comm,cpp,perlmutter-gpu,16,64,32,50000,50000,50000,500,64,1,1,0.0,-1.0,0.018367,0.092068,0.033494,0.0,0.0,2025-10-05T12:33:53
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,8,8,1,0.041781,0.033063,0.022591,0.051088,1.069509,0.0,0.063555,2026-06-04T09:29:50
matmul,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,500,4,4,1,0.162702,0.128651,0.0271,0.02274,0.438944,0.0,0.027024,2026-06-04T09:23:41
matmul,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,5000,2,2,1,0.610831,0.506993,0.188658,0.140468,16.630716,0.0,0.203829,2026-06-04T09:26:53
matmul1gen,cpp,perlmutter-gpu,32,128,32,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.124818,0.0,0.118903,0.0,0.0,2025-10-05T12:41:33
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,500,8,8,1,0.042864,0.033282,0.017721,0.015668,0.132178,0.0,0.054826,2026-06-04T09:31:10
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,-1.0,0.178079,0.0,0.40639,0.0,0.0,2026-02-13T07:33:44
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.250287,0.0,4.251692,0.0,0.0,2026-02-14T20:45:57
matmul,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,500,8,4,1,0.082123,0.064919,0.020582,0.024278,0.242193,0.0,0.017216,2026-06-04T09:28:40
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,-1.0,0.089392,0.0,0.143993,0.0,0.0,2026-02-13T07:31:09
matmul1comm,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.103923,0.554443,4.234364,0.0,0.0,2026-02-14T20:47:58
matmul1gen,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,500,32,1,1,0.0,-1.0,0.041591,0.0,0.259729,0.0,0.0,2026-02-14T20:48:29
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.251729,0.0,4.248658,0.0,0.0,2025-10-05T12:15:16
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,-1.0,0.644307,0.0,1.285596,0.0,0.0,2026-02-13T07:25:37
matmul,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,8,8,2,0.051708,0.016997,0.156231,0.037169,0.73091,0.0,0.107692,2026-06-04T09:33:04
matmul1gen,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,5000,8,1,1,0.0,-1.0,0.229538,0.0,8.052629,0.0,0.0,2026-02-14T20:52:26
matmul,python,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,50000,8,4,4,0.2977073389999987,-1.0,-1.0,1.4919566440000835,5.923131804999912,0.0,1.1019351870002083,2025-10-07T07:24:19
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,-1.0,0.649541,0.0,1.279332,0.0,0.0,2026-02-13T07:25:21
matmul1gen,cpp,perlmutter-gpu-cpu,64,256,32,500000,1000000,1000000,1000,256,1,1,0.0,-1.0,0.65325,0.0,10.623831,0.0,0.0,2026-02-17T11:53:26
matmul1gen,cpp,perlmutter-gpu,8,32,32,50000,50000,50000,5000,32,1,1,0.0,-1.0,0.054368,0.0,0.232298,0.0,0.0,2025-10-05T12:27:41
matmul,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,8,8,2,0.049829,0.016932,0.022115,0.033347,0.709842,0.0,0.034075,2026-06-04T09:33:24
