alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1comm,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.145854,0.146443,0.21726,0.0,0.0,2026-02-13T07:40:25
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.70492,0.0,1.278347,0.0,0.0,2026-02-13T07:25:04
matmul1comm,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,0.166689,0.963838,0.868445,0.0,0.0,2026-02-13T07:47:03
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.043615,0.875936,15.753402,0.0,0.0,2026-02-13T07:20:38
matmul1gen,cpp,perlmutter-gpu-cpu,128,2048,8,1000000,1000000,1000000,1000,2048,1,1,0.0,2.490986,0.0,11.00051,0.0,0.0,2026-02-13T06:56:20
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,0.091974,0.256171,0.137938,0.0,0.0,2026-02-13T07:33:39
matmul,cpp,perlmutter-cpu,16,64,64,50000,50000,50000,50000,4,4,4,0.561836,0.0,1.238493,6.420236,0.0,0.251033,2025-08-10T11:49:24
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,5000,32,1,1,0.0,0.02666,0.81247,8.049405,0.0,0.0,2026-02-13T07:24:26
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.055035,0.0,0.235699,0.0,0.0,2026-02-13T07:38:03
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.086269,0.0,0.889965,0.0,0.0,2026-02-13T07:26:38
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,0.021677,0.098219,1.694284,0.0,0.0,2026-02-13T07:25:48
matmul1gen,python,perlmutter-cpu,2,16,32,50000,50000,50000,5000,16,1,1,0.0,0.5700768579999931,0.0,4.2738005550000935,0.0,0.0,2025-06-25T14:10:11
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,0.083003,0.0,1.760977,0.0,0.0,2026-02-13T07:23:42
matmul,cpp,perlmutter-gpu,16,64,32,50000,50000,50000,5000,4,4,4,0.056409,0.0,0.160609,0.042034,0.0,0.214894,2025-08-26T13:10:41
matmul1comm,cpp,perlmutter-gpu,128,512,32,50000,50000,50000,5000,512,1,1,0.0,0.026423,0.556167,0.034668,0.0,0.0,2025-10-04T06:43:11
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.043889,0.854205,15.824292,0.0,0.0,2026-02-13T07:23:13
matmul1comm,python,perlmutter-cpu,1,128,2,50000,50000,50000,5000,128,1,1,0.0,0.006388213999798609,3.7595801029997347,8.878856278000058,0.0,0.0,2025-06-18T05:53:55
matmul,cpp,perlmutter-cpu,1,4,64,50000,50000,50000,50000,2,2,1,0.539071,0.0,4.601546,78.1099,0.0,1.937576,2025-08-10T10:39:25
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.164945,0.182932,0.451237,0.0,0.0,2026-02-13T07:36:32
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.03717,0.755936,15.600492,0.0,0.0,2026-02-13T07:22:29
matmul1gen,cpp,perlmutter-gpu,2,8,32,50000,50000,50000,5000,8,1,1,0.0,0.078934,0.0,0.771334,0.0,0.0,2025-10-05T12:27:41
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.147109,0.0,0.425725,0.0,0.0,2026-02-13T07:34:59
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,0.739275,0.0,2.274043,0.0,0.0,2026-02-13T07:32:03
matmul1gen,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,128,1,1,0.0,0.299934,0.0,0.620526,0.0,0.0,2025-10-05T12:26:58
matmul1gen,cpp,perlmutter-gpu-cpu,256,1024,32,1000000,1000000,1000000,1000,1024,1,1,0.0,0.734274,0.0,5.354762,0.0,0.0,2026-02-06T19:00:02
matmul1gen,cpp,perlmutter-gpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13T09:20:41
matmul1comm,cpp,perlmutter-cpu,4,32,32,50000,50000,50000,5000,32,1,1,0.0,0.010325,2.46169,2.244075,0.0,0.0,2025-06-25T14:11:44
matmul1gen,cpp,perlmutter-cpu,32,128,64,50000,50000,50000,5000,128,1,1,0.0,0.464012,0.0,0.506036,0.0,0.0,2025-08-10T20:41:02
matmul,cpp,perlmutter-cpu,4,16,64,50000,50000,50000,50000,4,2,2,0.550537,0.0,5.459255,20.374678,0.0,0.830012,2025-08-10T10:41:22
matmul1gen,cpp,perlmutter-cpu,1,8,32,50000,50000,50000,5000,8,1,1,0.0,0.468715,0.0,8.098512,0.0,0.0,2025-06-25T14:04:33
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.05837,0.0,0.43307,0.0,0.0,2026-02-13T07:34:14
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,0.660683,0.0,2.342982,0.0,0.0,2026-02-13T07:31:28
matmul1gen,python,perlmutter-cpu,2,256,2,50000,50000,50000,5000,256,1,1,0.0,2.0246451959999376,0.0,5.672031373999971,0.0,0.0,2025-06-18T05:29:55
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.081092,0.0,0.880967,0.0,0.0,2026-02-13T07:25:24
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.048218,0.096437,0.913389,0.0,0.0,2026-02-13T07:29:22
matmul1gen,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,500,32,1,1,0.0,0.05759,0.0,0.240666,0.0,0.0,2025-10-05T12:15:30
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.635095,0.0,1.266754,0.0,0.0,2026-02-13T07:27:00
matmul1gen,cpp,perlmutter-cpu,128,512,64,50000,50000,50000,5000,512,1,1,0.0,0.465014,0.0,0.227372,0.0,0.0,2025-08-10T20:37:56
matmul1gen,cpp,perlmutter-cpu,2,16,32,50000,50000,50000,5000,16,1,1,0.0,0.468752,0.0,4.276899,0.0,0.0,2025-06-25T14:09:39
matmul1gen,cpp,perlmutter-gpu-cpu,256,4096,8,1000000,1000000,1000000,1000,4096,1,1,0.0,2.522512,0.0,5.78644,0.0,0.0,2026-02-13T06:20:00
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,500,512,1,1,0.0,0.139764,0.0,0.057705,0.0,0.0,2026-02-13T07:49:09
matmul1gen,cpp,perlmutter-gpu-cpu,128,2048,8,1000000,1000000,1000000,1000,2048,1,1,0.0,2.489291,0.0,11.148335,0.0,0.0,2026-02-13T06:55:01
matmul1comm,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.195422,0.122961,0.247795,0.0,0.0,2026-02-13T07:38:51
matmul1comm,cpp,perlmutter-gpu,32,128,32,50000,50000,50000,500,128,1,1,0.0,0.025204,0.234412,0.027451,0.0,0.0,2025-10-05T12:41:58
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.075246,0.0,0.402589,0.0,0.0,2026-02-13T07:34:44
matmul1comm,cpp,perlmutter-gpu,8,32,32,50000,50000,50000,500,32,1,1,0.0,0.043649,0.074803,0.045264,0.0,0.0,2025-10-05T12:28:05
matmul1gen,cpp,perlmutter-gpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13T09:20:01
matmul1gen,cpp,perlmutter-gpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,0.080691,0.0,0.408321,0.0,0.0,2025-10-05T12:27:41
matmul,cpp,perlmutter-cpu,2,8,64,50000,50000,50000,50000,2,2,2,1.075447,0.0,4.338247,39.90369,0.0,0.980546,2025-08-10T10:40:13
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.036064,0.965293,1.279075,0.0,0.0,2026-02-13T07:28:08
matmul,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,50000,4,4,2,0.173848,0.0,0.395052,19.805837,0.0,0.914761,2025-10-06T21:09:53
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.083532,0.0,0.916795,0.0,0.0,2026-02-13T07:24:40
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.231761,0.124917,0.44148,0.0,0.0,2026-02-13T07:37:18
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.091126,0.0,0.231198,0.0,0.0,2026-02-13T07:38:35
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.207358,0.0,0.371452,0.0,0.0,2026-02-13T07:35:14
matmul1gen,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,500,8,1,1,0.0,0.033762,0.0,0.870532,0.0,0.0,2025-10-05T12:05:45
matmul,python,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,50000,4,4,2,0.2741840860001048,0.0,1.7627013239998632,15.009322931000042,0.0,20.695950652999954,2025-10-07T07:27:47
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,0.020661,0.099464,1.693144,0.0,0.0,2026-02-13T07:25:13
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.042736,0.8617,15.84946,0.0,0.0,2026-02-13T07:23:35
matmul1gen,cpp,perlmutter-gpu-cpu,192,3072,8,1000000,1000000,1000000,1000,3072,1,1,0.0,2.527315,0.0,7.829674,0.0,0.0,2026-02-13T05:05:05
matmul1comm,python,perlmutter-cpu,4,32,32,50000,50000,50000,5000,32,1,1,0.0,0.018968703999917125,6.143541890000051,2.2346871170000213,0.0,0.0,2025-06-25T14:12:08
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,5000,64,1,1,0.0,0.086788,0.853445,4.190888,0.0,0.0,2026-02-13T07:30:08
matmul1comm,cpp,perlmutter-gpu-cpu,128,512,32,50000,50000,50000,5000,512,1,1,0.0,0.000634,0.733082,0.228927,0.0,0.0,2025-08-17T20:39:12
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.062819,0.0,0.877648,0.0,0.0,2026-02-13T07:25:39
matmul1gen,cpp,perlmutter-gpu-cpu,128,512,32,1000000,1000000,1000000,1000,512,1,1,0.0,0.733203,0.0,10.816016,0.0,0.0,2026-02-06T16:35:45
