alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-redist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,1,1,32,0.5016,0.080671,0.212965,0.02366,0.059586,0.0,0.0,0.0,0.028191,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.647069,0.252224,1.108992,0.158187,0.0,0.0,0.007334,0.051996,0.0,0.047132
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,8,4,1,1,32,1,2.722198,0.246524,2.103806,0.262388,0.0,0.0,0.010733,0.046045,0.0,0.038188
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,16,1,1,1,1,16,5.130049,0.315483,4.32285,0.439448,0.026051,0.0,0.0,0.0,0.015701,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,8,1,1,0.984798,0.068371,0.877049,0.0314,0.0,0.00149,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,128,1,1,128,1,1,1.503297,0.078335,0.033922,0.000826,0.0,1.256088,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,1,1,32,0.550315,0.075052,0.213427,0.023648,0.035445,0.0,0.0,0.0,0.018654,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,2,2,1,1,4,1,21.070389,0.161558,16.631297,1.703361,0.0,0.0,0.06167,0.044738,0.0,0.133345
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,512,1,1,0.851568,0.094468,0.034433,0.000777,0.0,0.584791,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,4,1,1,1,1,4,0.384386,0.088293,0.17604,0.003562,0.040032,0.0,0.0,0.0,0.008709,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.317765,0.065666,0.04774,0.001066,0.0,0.177124,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,2,8,32,50000,5000,8,1,1,1,1,8,0.990191,0.075751,0.758276,0.07684,0.057957,0.0,0.0,0.0,0.009935,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,16,1,1,16,1,1,0.60953,0.103715,0.476772,0.02391,0.0,0.001421,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,16,1,1,1,1,16,5.123034,0.281298,4.3349,0.458449,0.025699,0.0,0.0,0.0,0.016792,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,500,16,16,1,1,256,1,3.051536,0.110506,0.031925,0.000801,0.0,0.0,0.000809,2.517271,0.0,0.250964
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,16,8,1,1,128,1,1.137962,0.302255,0.618378,0.106952,0.0,0.0,0.003659,0.050277,0.0,0.021704
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,8,4,1,1,32,1,0.423051,0.144563,0.248515,0.015552,0.0,0.0,0.00251,0.001816,0.0,0.005028
nystrom-1d-redist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,1,1,128,0.404434,0.089911,0.082098,0.007967,0.0598,0.0,0.0,0.0,0.042843,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,128,1,1,128,1,1,1.405934,0.085965,0.033308,0.000826,0.0,1.166362,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,32,1,1,2.971843,0.322488,2.25923,0.308145,0.0,0.064522,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.441874,0.085975,0.032432,0.00083,0.0,0.0,0.000822,1.221277,0.0,0.038622
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,64,1,1,1,1,64,1.72969,0.277663,1.193711,0.221443,0.019151,0.0,0.0,0.0,0.00783,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,2.081736,0.07233,1.542053,0.189405,0.0,0.218752,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,16,1,1,1,1,16,5.092788,0.271679,4.317274,0.450895,0.026203,0.0,0.0,0.0,0.015791,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,2.090174,0.081134,1.578754,0.189903,0.0,0.217058,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,5000,8,1,1,8,1,1,1.154808,0.051122,0.757711,0.096832,0.0,0.223788,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,512,1,1,0.852258,0.080124,0.033864,0.000776,0.0,0.567819,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,16,8,1,1,128,1,1.213707,0.310672,0.625822,0.121294,0.0,0.0,0.003669,0.111134,0.0,0.021694
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.60772,0.085112,0.396198,0.037994,0.053778,0.0,0.0,0.0,0.01437,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,5000,4,2,1,1,8,1,10.53443,0.279891,9.130926,0.956247,0.0,0.0,0.030353,0.054195,0.0,0.065203
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.379339,0.069242,0.047574,0.00106,0.0,0.201354,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.422726,0.090797,0.060378,0.000387,0.085917,0.0,0.0,0.0,0.116873,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,16,16,1,1,256,1,2.844171,0.09471,0.05084,0.005215,0.0,0.0,0.000977,2.546638,0.0,0.083782
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,1,1,256,1.072109,0.3165,0.40631,0.293593,0.032096,0.0,0.0,0.0,0.007484,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,1,1,512,1.604414,0.488982,0.57843,0.458759,0.036585,0.0,0.0,0.0,0.015865,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.632251,0.263774,1.086143,0.162631,0.0,0.0,0.006064,0.049288,0.0,0.041093
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,1,4,32,100000,500,2,2,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,8,8,1,1,64,1,0.301813,0.112996,0.156721,0.004948,0.0,0.0,0.00181,0.003996,0.0,0.00508
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,1,1,512,0.442024,0.074139,0.034633,0.001311,0.023487,0.0,0.0,0.0,0.155594,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,1,1,64,0.357043,0.133543,0.186013,0.021217,0.006501,0.0,0.0,0.0,0.003576,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,512,1,1,2.016282,0.485654,0.540296,0.143083,0.0,0.815836,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,500,128,1,1,1,1,128,0.308703,0.148268,0.103026,0.029092,0.011428,0.0,0.0,0.0,0.005556,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,5000,512,1,1,1,1,512,0.855806,0.159052,0.050165,0.009059,0.349686,0.0,0.0,0.0,0.155768,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,100000,5000,4,1,1,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,1,1,4,22.508914,0.236163,17.47369,2.506492,0.118828,0.0,0.0,0.0,0.050778,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,1,1,64,0.344145,0.079193,0.12843,0.015167,0.050188,0.0,0.0,0.0,0.017796,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,16,16,1,1,256,1,3.196261,0.091521,0.050021,0.005245,0.0,0.0,0.001007,2.81035,0.0,0.082269
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,128,1,1,128,1,1,1.305391,0.325261,0.706665,0.153673,0.0,0.099046,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,500,16,1,1,1,1,16,0.212184,0.077309,0.065173,0.005588,0.03518,0.0,0.0,0.0,0.009429,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,1,1,32,2.8194,0.260902,2.256243,0.259834,0.01969,0.0,0.0,0.0,0.01025,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,16,1,1,1,1,16,0.618242,0.085974,0.486587,0.029798,0.004924,0.0,0.0,0.0,0.002982,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,4,4,1,1,16,1,0.66786,0.111393,0.505508,0.028533,0.0,0.0,0.003272,0.001211,0.0,0.009389
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,1,1,64,0.363352,0.127775,0.180927,0.038175,0.006666,0.0,0.0,0.0,0.003704,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,2,2,1,1,4,1,20.689584,0.279502,16.209985,1.66197,0.0,0.0,0.057649,0.044687,0.0,0.125443
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,4,1,1,4,1,1,0.332961,0.076492,0.19884,0.013393,0.0,0.028133,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,8,1,1,1,1,8,0.190672,0.034088,0.10205,0.005484,0.00627,0.0,0.0,0.0,0.010769,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.687956,0.077349,0.396852,0.038004,0.075597,0.0,0.0,0.0,0.01065,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,512,1,1,0.509075,0.050673,0.194875,0.034461,0.0,0.20881,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,8,4,1,1,32,1,0.385455,0.107316,0.257055,0.005405,0.0,0.0,0.002641,0.001884,0.0,0.004965
